SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"DELHIVERY","475.30","475.30","466.80","473.45","470.25","-","-3.2","-0.68","6123936","286.85","524.00","374.45","-9.62","1.43"
"AARTIIND","510.00","534.00","503.25","505.30","532.95","-","27.65","5.47","5378998","281.11","534.00","338.05","10.09","43.25"
"BATAINDIA","730.00","759.75","708.00","699.85","714.80","-","14.95","2.14","3783994","275.96","1,282.50","605.00","3.49","-37.07"
"AMBER","7,078.00","7,106.00","6,951.00","7,078.50","6,985.00","-","-93.5","-1.32","371574","259.98","8,974.00","5,400.50","-10.21","2.08"
"BELRISE","255.00","268.20","253.61","253.97","262.20","-","8.23","3.24","9422315","246.42","268.20","132.50","13.23","95.67"
"NAVINFLUOR","8,200.00","8,444.00","8,125.50","8,156.00","8,352.50","-","196.5","2.41","290940","242.96","8,775.50","4,498.50","8.31","70.62"
"GLAND","2,924.00","2,949.90","2,860.00","2,924.40","2,875.00","-","-49.4","-1.69","732471","212.08","2,988.40","1,573.60","15.96","48.7"
"VIJAYA","1,428.20","1,525.00","1,421.10","1,428.20","1,524.90","-","96.7","6.77","1399910","207.37","1,525.00","848.00","9.78","44.5"
"RHIM","420.00","420.00","385.00","415.55","385.65","-","-29.9","-7.2","5130721","203.24","515.55","323.05","-8.26","-21.22"
"TATACHEM","668.45","708.90","663.00","668.75","674.00","-","5.25","0.79","2753913","188.15","1,026.65","580.30","-6.53","-28.69"
"PGEL","616.00","620.80","604.25","616.00","614.65","-","-1.35","-0.22","2976044","181.87","644.40","436.55","5.4","19.3"
"MRPL","180.24","180.78","173.22","181.14","174.20","-","-6.94","-3.83","10085904","179.29","212.31","120.45","7.21","37.94"
"HSCL","760.00","764.95","756.10","755.50","762.30","-","6.8","0.9","2240303","170.50","819.50","418.50","15.42","62.43"
"MEESHO","190.75","194.17","190.44","190.41","191.97","-","1.56","0.82","8383592","161.10","254.40","125.56","-1.1","0"
"OLAELEC","39.85","40.81","39.29","39.66","39.90","-","0.24","0.61","40404612","161.05","71.25","22.25","-1.26","0.2"
"GMDCLTD","602.90","617.15","600.50","603.00","602.45","-","-0.55","-0.09","2552352","155.60","771.90","399.20","2.15","45.87"
"SONACOMS","801.05","807.70","797.40","800.00","804.50","-","4.5","0.56","1894549","151.98","836.90","402.30","20.34","82.74"
"AFCONS","265.00","279.30","264.40","263.65","267.95","-","4.3","1.63","5079574","138.43","479.40","259.10","-10.95","-36.57"
"BEML","1,920.10","1,954.80","1,891.40","1,902.30","1,901.50","-","-0.8","-0.04","714898","137.66","2,275.75","1,355.00","2.09","-2.92"
"ANGELONE","290.75","291.00","285.25","291.40","291.00","-","-0.4","-0.14","4505655","129.45","360.45","208.63","-15.91","16.08"
"ANANDRATHI","2,170.00","2,222.00","2,160.10","2,158.00","2,194.00","-","36","1.67","577193","126.56","2,222.00","1,295.15","2.2","59.24"
